mouse_x,mouse_y,plane_x,plane_y,plane_direction
438, 189, 567, 171, -1
1203, 284, 996, 23, 1.5
950, 292, 655, 261, 1.5
442, 52, 551, 20, -1
951, 188, 692, 179, 1.5
762, 47, 845, 79, -2
1075, 308, 1162, 112, 2
700, 78, 1183, 198, 1.5
567, 158, 645, 171, -1.5
222, 60, 1272, 123, -1
1188, 335, 912, 225, 1
536, 117, 110, 248, 1
862, 34, 1227, 236, 1
100, 198, 341, 172, -1
35, 237, 222, 98, -1.5
1246, 277, -7, 5, 2
1053, 31, 711, 9, 1.5
1263, 307, 570, 210, 1
341, 49, 1210, 79, -1.5
84, 229, 19, 227, -1
1208, 98, 855, 68, 1
126, 380, 129, 239, -1.5
441, 247, 602, 241, -1
1235, 427, 1042, 257, 1
49, 125, 230, 49, -1.5
0, 291, 332, 250, -1
1011, 133, 608, 258, 1.5
1208, 274, 870, 246, 1
826, 262, 683, 76, -1.5
722, 71, 1173, 245, 1.5
803, 132, 875, 57, -1
92, 293, 171, 87, -2
452, 80, 606, 57, -1
1054, 49, 4, 6, 1.5
1230, 384, 871, 289, 2
95, 423, 268, 12, -1
38, 270, 1039, 252, -1
1201, 353, -73, 104, 1
259, 273, 543, 189, -2
1206, 435, 1034, 269, 1
1133, 260, 1196, 107, 2
121, 358, 390, 277, -1
1095, 156, 888, 73, 1
437, 60, 410, 17, 1.5
1223, 206, 916, 82, 1.5
54, 390, 129, 241, -1.5
19, 223, 1070, 52, -2
451, 286, -73, 273, -1.5
1147, 281, 172, 289, 1
290, 61, 456, 34, -1
2, 337, 282, 251, -1
354, 191, 566, 167, -1
904, 312, 73, 67, 1
567, 116, 674, 104, -1
1191, 273, 1166, 286, 1
331, 186, 483, 164, -1
1206, 115, 1254, 43, 1
54, 267, 1277, 121, -1.5
632, 255, 553, 231, 1
979, 24, 787, 16, 1
114, 215, 372, 202, -1
729, 176, 751, 157, -1.5
546, 131, 89, 80, -1.5
450, 295, 897, 142, 1
113, 382, 221, 274, -1
646, 87, 532, 105, 1
